channel_id,direction,direction2,entry_points,entry_type,message_id,raw_message,stop_loss,symbol,timestamp,tp1,tp2,tp3,tp4
-1001552516320,BUY,BUY,"[0.793, 0.787]",limit,9551,"USDCHF BUY limit from 0.793 and BUY limit from 0.787
Tp1 @ 0.798 1
Tp2 @ 0.804 2
Tp3 @ 0.810 3
Tp4 @ 0.816 4
Sl    @ 0.781 ",0.781,USDCHF,2025-04-13T20:41:17+00:00,0.798,0.804,0.81,0.816
-1001552516320,SELL,,['market'],market,9550,"USDCHF SELL Now and SELL limit from 0.821
Tp1 @ 0.810 1
Tp2 @ 0.804 2
Tp3 @ 0.798 3
Tp4 @ 0.792 0
Sl    @ 0.827 ",0.827,USDCHF,2025-04-13T20:41:17+00:00,0.81,0.804,0.798,0.792
-1001552516320,BUY,BUY,"[141.8, 141.2]",limit,9549,"USDJPY BUY limit from 141.8 and BUY limit from 141.2
Tp1 @ 142.3 1
Tp2 @ 142.9 2
Tp3 @ 143.5 3
Tp4 @ 144.1 4
Sl    @ 140.6 ",140.6,USDJPY,2025-04-13T20:41:17+00:00,142.3,142.9,143.5,144.1
-1001552516320,SELL,SELL,"[145.4, 146.0]",limit,9548,"USDJPY SELL limit from 145.4 and SELL limit from 146.0
Tp1 @ 144.9 1
Tp2 @ 144.3 2
Tp3 @ 143.7 3
Tp4 @ 143.1 0
Sl    @ 146.6 ",146.6,USDJPY,2025-04-13T20:41:16+00:00,144.9,144.3,143.7,143.1
-1001552516320,BUY,BUY,"[1.38, 1.374]",limit,9547,"USDCAD BUY limit from 1.380 and BUY limit from 1.374
Tp1 @ 1.385 1
Tp2 @ 1.391 2
Tp3 @ 1.397 3
Tp4 @ 1.403 4
Sl    @ 1.368 ",1.368,USDCAD,2025-04-13T20:41:16+00:00,1.385,1.391,1.397,1.403
-1001552516320,SELL,,['market'],market,9546,"NZDUSD SELL Now and SELL limit from 0.588
Tp1 @ 0.577 1
Tp2 @ 0.571 2
Tp3 @ 0.565 3
Tp4 @ 0.559 0
Sl    @ 0.594 ",0.594,NZDUSD,2025-04-13T20:41:16+00:00,0.577,0.571,0.565,0.559
-1001552516320,BUY,BUY,"[82.1, 81.5]",limit,9545,"NZDJPY BUY limit from 82.1 and BUY limit from 81.5
Tp1 @ 82.6 1
Tp2 @ 83.2 2
Tp3 @ 83.8 3
Tp4 @ 84.4 4
Sl    @ 80.9 ",80.9,NZDJPY,2025-04-13T20:41:16+00:00,82.6,83.2,83.8,84.4
-1001552516320,SELL,SELL,"[84.6, 85.2]",limit,9544,"NZDJPY SELL limit from 84.6 and SELL limit from 85.2
Tp1 @ 84.3 1
Tp2 @ 83.7 2
Tp3 @ 83.1 3
Tp4 @ 82.5 0
Sl    @ 86.0 ",86.0,NZDJPY,2025-04-13T20:41:16+00:00,84.3,83.7,83.1,82.5
-1001552516320,SELL,SELL,"[0.49, 0.496]",limit,9543,"NZDCHF SELL limit from 0.490 and SELL limit from 0.496
Tp1 @ 0.485 1
Tp2 @ 0.479 2
Tp3 @ 0.473 3
Tp4 @ 0.467 0
Sl    @ 0.502 ",0.502,NZDCHF,2025-04-13T20:41:16+00:00,0.485,0.479,0.473,0.467
-1001552516320,BUY,BUY,"[0.469, 0.463]",limit,9542,"NZDCHF BUY limit from 0.469 and BUY limit from 0.463
Tp1 @ 0.474 1
Tp2 @ 0.480 2
Tp3 @ 0.486 3
Tp4 @ 0.492 4
Sl    @ 0.457 ",0.457,NZDCHF,2025-04-13T20:41:16+00:00,0.474,0.48,0.486,0.492
-1001552516320,BUY,BUY,"[0.793, 0.787]",limit,9541,"NZDCAD BUY limit from 0.793 and BUY limit from 0.787
Tp1 @ 0.798 1
Tp2 @ 0.804 2
Tp3 @ 0.810 3
Tp4 @ 0.816 4
Sl    @ 0.781 ",0.781,NZDCAD,2025-04-13T20:41:16+00:00,0.798,0.804,0.81,0.816
-1001552516320,SELL,SELL,"[0.819, 0.825]",limit,9540,"NZDCAD SELL limit from 0.819 and SELL limit from 0.825
Tp1 @ 0.814 1
Tp2 @ 0.808 2
Tp3 @ 0.802 3
Tp4 @ 0.796 0
Sl    @ 0.831 ",0.831,NZDCAD,2025-04-13T20:41:16+00:00,0.814,0.808,0.802,0.796
-1001552516320,BUY,BUY,"[2.223, 2.217]",limit,9539,"GBPNZD BUY limit from 2.223 and BUY limit from 2.217
Tp1 @ 2.228 1
Tp2 @ 2.234 2
Tp3 @ 2.240 3
Tp4 @ 2.246 4
Sl    @ 2.211 ",2.211,GBPNZD,2025-04-13T20:41:16+00:00,2.228,2.234,2.24,2.246
-1001552516320,BUY,BUY,"[186.2, 185.6]",limit,9538,"GBPJPY BUY limit from 186.2 and BUY limit from 185.6
Tp1 @ 186.7 1
Tp2 @ 187.3 2
Tp3 @ 187.9 3
Tp4 @ 188.5 4
Sl    @ 185.0 ",185.0,GBPJPY,2025-04-13T20:41:16+00:00,186.7,187.3,187.9,188.5
-1001552516320,BUY,,['market'],market,9537,"GBPCHF BUY Now and BUY limit from 1.060
Tp1 @ 1.071 1
Tp2 @ 1.077 2
Tp3 @ 1.083 3
Tp4 @ 1.089 4
Sl    @ 1.054 ",1.054,GBPCHF,2025-04-13T20:41:16+00:00,1.071,1.077,1.083,1.089
-1001552516320,SELL,,['market'],market,9536,"GBPCAD SELL Now and SELL limit from 1.818
Tp1 @ 1.807 1
Tp2 @ 1.801 2
Tp3 @ 1.795 3
Tp4 @ 1.789 0
Sl    @ 1.824 ",1.824,GBPCAD,2025-04-13T20:41:16+00:00,1.807,1.801,1.795,1.789
-1001552516320,BUY,,['market'],market,9535,"EURUSD BUY Now and BUY limit from 1.129
Tp1 @ 1.140 1
Tp2 @ 1.146 2
Tp3 @ 1.152 3
Tp4 @ 1.158 4
Sl    @ 1.123 ",1.123,EURUSD,2025-04-13T20:41:16+00:00,1.14,1.146,1.152,1.158
-1001552516320,BUY,,['market'],market,9534,"EURNZD BUY Now and BUY limit from 1.942
Tp1 @ 1.953 1
Tp2 @ 1.959 2
Tp3 @ 1.965 3
Tp4 @ 1.971 4
Sl    @ 1.936 ",1.936,EURNZD,2025-04-13T20:41:16+00:00,1.953,1.959,1.965,1.971
-1001552516320,BUY,BUY,"[0.85, 0.844]",limit,9533,"EURGBP BUY limit from 0.850 and BUY limit from 0.844
Tp1 @ 0.855 1
Tp2 @ 0.861 2
Tp3 @ 0.867 3
Tp4 @ 0.873 4
Sl    @ 0.838 ",0.838,EURGBP,2025-04-13T20:41:16+00:00,0.855,0.861,0.867,0.873
-1001552516320,SELL,SELL,"[0.878, 0.884]",limit,9532,"EURGBP SELL limit from 0.878 and SELL limit from 0.884
Tp1 @ 0.873 1
Tp2 @ 0.867 2
Tp3 @ 0.861 3
Tp4 @ 0.855 0
Sl    @ 0.890 ",0.89,EURGBP,2025-04-13T20:41:16+00:00,0.873,0.867,0.861,0.855
-1001552516320,SELL,SELL,"[165.0, 165.6]",limit,9531,"EURJPY SELL limit from 165.0 and SELL limit from 165.6
Tp1 @ 164.5 1
Tp2 @ 163.9 2
Tp3 @ 163.3 3
Tp4 @ 162.7 0
Sl    @ 166.2 ",166.2,EURJPY,2025-04-13T20:41:16+00:00,164.5,163.9,163.3,162.7
-1001552516320,BUY,BUY,"[161.3, 160.7]",limit,9530,"EURJPY BUY limit from 161.3 and BUY limit from 160.7
Tp1 @ 161.8 1
Tp2 @ 162.4 2
Tp3 @ 163.0 3
Tp4 @ 163.6 4
Sl    @ 160.1 ",160.1,EURJPY,2025-04-13T20:41:16+00:00,161.8,162.4,163.0,163.6
-1001552516320,BUY,BUY,"[0.91, 0.904]",limit,9529,"EURCHF BUY limit from 0.910 and BUY limit from 0.904
Tp1 @ 0.915 1
Tp2 @ 0 921 2
Tp3 @ 0 927 3
Tp4 @ 0.933 4
Sl    @ 0.898 ",0.898,EURCHF,2025-04-13T20:41:15+00:00,0.915,0.0,0.0,0.933
-1001552516320,SELL,SELL,"[0.938, 0.944]",limit,9528,"EURCHF SELL limit from 0.938 and SELL limit from 0.944
Tp1 @ 0.933 1
Tp2 @ 0.927 2
Tp3 @ 0.921 3
Tp4 @ 0.915 0
Sl    @ 0.950 ",0.95,EURCHF,2025-04-13T20:41:15+00:00,0.933,0.927,0.921,0.915
